,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Hearty Meatball Sandwich,196.0,491,75.0,3.0,30.0,5.0,39.0,12.0,198.0,441.0,29.3,4.50761413574219,59030/hearty-meatball-sandwich/,italian,8.0,1068.0,5.0,0.0,Hearty Meatball Sandwich,43.1,21.4,145IU,0.0,1.0
Pork Chops Italiano,57.0,290,63.0,2.0,24.0,2.0,40.0,11.0,951.0,691.0,25.3,4.553571224212651,219005/pork-chops-italiano/,italian,5.0,339.0,4.0,1.0,Pork Chops Italiano,7.8,17.6,217IU,1.0,32.0
Kay's Spaghetti and Lasagna Sauce,93.0,206,34.0,3.8,31.0,4.0,46.0,6.0,986.0,728.0,13.2,4.36906385421753,23602/kays-spaghetti-and-lasagna-sauce/,italian,3.0,379.0,9.0,0.0,Kay's Spaghetti and Lasagna Sauce,22.0,8.4,1034IU,0.0,41.0
Tagliatelle with Coriander Pesto,92.0,663,11.0,3.9,189.0,4.0,76.0,7.0,25.0,319.0,16.5,4.0,217292/tagliatelle-with-coriander-pesto/,italian,7.0,190.0,4.0,0.0,Tagliatelle with Coriander Pesto,64.8,39.4,1001IU,0.0,5.0
Tilapia Scaloppine,63.0,262,57.0,1.6,10.0,1.0,42.0,5.0,287.0,564.0,24.2,4.504464149475099,84737/tilapia-scaloppine/,italian,5.0,222.0,0.0,0.0,Tilapia Scaloppine,5.0,14.2,294IU,0.0,24.0
Prune and Olive Chicken,49.0,402,97.0,1.2,11.0,3.0,37.0,10.0,260.0,386.0,31.2,4.65841579437256,8900/prune-and-olive-chicken/,italian,6.0,308.0,13.0,0.0,Prune and Olive Chicken,16.5,22.4,405IU,1.0,2.0
Original Homemade Italian Beef,130.0,557,103.0,2.2,59.0,6.0,31.0,10.0,905.0,310.0,31.9,4.64833354949951,91597/original-homemade-italian-beef/,italian,11.0,4233.0,7.0,0.0,Original Homemade Italian Beef,38.4,28.8,315IU,0.0,1.0
World's Best Lasagna,442.0,448,82.0,4.0,80.0,4.0,67.0,10.0,29000.0,876.0,29.7,4.79050922393799,23600/worlds-best-lasagna/,italian,10.0,1788.0,9.0,0.0,World's Best Lasagna,36.5,21.3,1454IU,0.0,17.0
Chicken Marsala,25.0,448,99.0,0.5,23.0,2.0,40.0,20.0,7000.0,411.0,28.8,4.53660821914673,8887/chicken-marsala/,italian,10.0,543.0,3.0,0.0,Chicken Marsala,13.3,26.6,393IU,1.0,2.0
"Bow Ties with Sausage, Tomatoes and Cream",91.0,656,111.0,3.4,121.0,3.0,43.0,7.0,5000.0,350.0,20.1,4.68594837188721,26257/bow-ties-with-sausage-tomatoes-and-cream/,italian,20.0,1088.0,7.0,0.0,"Bow Ties with Sausage, Tomatoes and Cream",50.9,42.1,1693IU,0.0,17.0
Eggplant Parmesan II,512.0,487,73.0,8.8,50.0,4.0,63.0,10.0,4000.0,815.0,24.2,4.45294952392578,25321/eggplant-parmesan-ii/,italian,7.0,1663.0,20.0,0.0,Eggplant Parmesan II,62.1,16.0,1089IU,0.0,5.0
Italian Spaghetti Sauce with Meatballs,140.0,349,77.0,4.5,46.0,6.0,59.0,9.0,4000.0,1023.0,18.9,4.52386522293091,21353/italian-spaghetti-sauce-with-meatballs/,italian,6.0,1492.0,12.0,0.0,Italian Spaghetti Sauce with Meatballs,23.7,21.2,825IU,1.0,33.0
Garlic Cheddar Chicken,280.0,400,129.0,0.5,20.0,2.0,37.0,18.0,4000.0,265.0,34.5,4.6103458404541,70522/garlic-cheddar-chicken/,italian,15.0,488.0,1.0,0.0,Garlic Cheddar Chicken,8.4,24.9,657IU,1.0,1.0
Gourmet Mushroom Risotto,70.0,431,29.0,2.7,37.0,2.0,24.0,8.0,4000.0,692.0,11.3,4.79156494140625,85389/gourmet-mushroom-risotto/,italian,7.0,1131.0,4.0,0.0,Gourmet Mushroom Risotto,56.6,16.6,520IU,0.0,4.0
Chicken Parmesan,380.0,471,187.0,0.6,31.0,2.0,44.0,19.0,7000.0,389.0,42.1,4.81814861297607,223042/chicken-parmesan/,italian,9.0,840.0,2.0,0.0,Chicken Parmesan,24.8,24.9,628IU,1.0,3.0
American Lasagna,759.0,664,168.0,4.2,108.0,6.0,78.0,15.0,2000.0,872.0,50.9,4.68015432357788,11729/american-lasagna/,italian,15.0,1900.0,14.0,0.0,American Lasagna,48.3,29.5,1758IU,0.0,23.0
Chicken Milano,76.0,641,156.0,2.8,124.0,3.0,77.0,22.0,3000.0,681.0,36.3,4.62079763412476,19304/chicken-milano/,italian,17.0,501.0,5.0,0.0,Chicken Milano,47.0,34.8,1116IU,1.0,5.0
Slow Cooker Italian Beef for Sandwiches,17.0,318,100.0,0.2,15.0,3.0,35.0,12.0,2000.0,530.0,39.4,4.62986755371094,16427/slow-cooker-italian-beef-for-sandwiches/,italian,6.0,819.0,1.0,0.0,Slow Cooker Italian Beef for Sandwiches,1.6,15.8,30IU,0.0,0.0
Babi's Bean Salad,103.0,273,0.0,7.6,304.0,4.0,93.0,4.0,6.0,750.0,11.2,4.428571224212651,50220/babis-bean-salad/,lebanese,1.0,231.0,11.0,0.0,Babi's Bean Salad,38.2,9.8,5414IU,0.0,51.0
Lebanese Chicken and Potatoes,51.0,592,65.0,6.5,55.0,3.0,86.0,11.0,281.0,1436.0,26.7,4.14338254928589,89833/lebanese-chicken-and-potatoes/,lebanese,6.0,81.0,3.0,0.0,Lebanese Chicken and Potatoes,53.9,30.5,86IU,1.0,75.0
Fattoush,87.0,482,0.0,3.8,119.0,2.0,41.0,4.0,20.0,516.0,6.2,4.3600001335144,86283/fattoush/,lebanese,5.0,394.0,5.0,0.0,Fattoush,35.4,36.5,2781IU,0.0,55.0
Middle Eastern Kibbeh,22.0,159,38.0,1.7,14.0,1.0,24.0,3.0,63.0,193.0,10.9,4.59090900421143,143265/middle-eastern-kibbeh/,lebanese,3.0,228.0,1.0,0.0,Middle Eastern Kibbeh,7.4,9.6,31IU,0.0,2.0
Lebanese Donair,236.0,990,128.0,6.8,145.0,10.0,118.0,25.0,40.0,1404.0,57.5,4.349999904632569,88233/lebanese-donair/,lebanese,14.0,471.0,6.0,1.0,Lebanese Donair,47.6,64.7,1837IU,1.0,45.0
Mellas Family Lamb Stuffed Zucchini (Koosa),129.0,511,76.0,5.0,86.0,5.0,79.0,12.0,14.0,1185.0,26.2,4.25,207936/mellas-family-lamb-stuffed-zucchini-koosa/,lebanese,8.0,1593.0,9.0,0.0,Mellas Family Lamb Stuffed Zucchini (Koosa),44.8,26.6,762IU,1.0,49.0
Mediterranean Meat Pies (Sfeeha),14.0,412,34.0,1.2,52.0,3.0,29.0,6.0,42.0,174.0,12.7,4.56666660308838,216879/mediterranean-meat-pies-sfeeha/,lebanese,8.0,162.0,1.0,0.0,Mediterranean Meat Pies (Sfeeha),26.4,28.7,15IU,0.0,3.0
Lamb Shawarma,60.0,376,115.0,0.4,31.0,3.0,34.0,8.0,83.0,380.0,29.0,4.625,214029/lamb-shawarma/,lebanese,11.0,966.0,2.0,0.0,Lamb Shawarma,3.0,26.8,106IU,0.0,3.0
Kafta (BBQ),21.0,227,74.0,0.5,18.0,2.0,23.0,8.0,174.0,327.0,22.0,4.41780805587769,64519/kafta/,lebanese,5.0,459.0,1.0,0.0,Kafta (BBQ),2.3,13.9,453IU,0.0,8.0
Tabbouleh III,38.0,244,0.0,4.6,37.0,1.0,46.0,2.0,226.0,338.0,3.3,4.42009115219116,14438/tabbouleh-iii/,lebanese,3.0,593.0,2.0,0.0,Tabbouleh III,19.0,18.5,1127IU,0.0,26.0
Lentil and Green Collard Soup,170.0,307,0.0,10.5,126.0,4.0,22.0,1.0,175.0,660.0,15.2,4.44767427444458,137450/lentil-and-green-collard-soup/,lebanese,1.0,1779.0,3.0,0.0,Lentil and Green Collard Soup,38.6,11.8,4694IU,0.0,38.0
Thick-Style Lebanese Garlic Sauce,4.0,123,0.0,0.1,1.0,2.0,3.0,0.0,161.0,13.0,0.1,4.13207530975342,150654/thick-style-lebanese-garlic-sauce/,lebanese,2.0,165.0,0.0,0.0,Thick-Style Lebanese Garlic Sauce,0.9,13.6,1IU,0.0,2.0
